year,name,gross,theaters,totalGross,relDate,distributor
1985,Back to the Future,"$190,581,407","1,550","$210,609,762",Jul 3,Universal Pictures
1985,Beverly Hills Cop,"$157,304,980","2,006","$234,760,478",Dec 5,Paramount Pictures
1985,Rambo: First Blood Part II,"$150,415,432","2,074","$150,415,432",May 22,TriStar Pictures
1985,Rocky IV,"$89,102,648","2,254","$127,873,716",Nov 27,United Artists
1985,Cocoon,"$76,113,124","1,163","$76,113,124",Jun 21,Twentieth Century Fox
1985,Witness,"$68,706,993","1,169","$68,706,993",Feb 8,Paramount Pictures
1985,The Goonies,"$61,389,680","1,705","$61,389,680",Jun 7,Warner Bros.
1985,Police Academy 2: Their First Assignment,"$55,600,000","1,613","$55,600,000",Mar 29,Warner Bros.
1985,Fletch,"$50,612,888","1,303","$50,612,888",May 31,Universal Pictures
1985,A View to a Kill,"$50,327,960","1,588","$50,327,960",May 24,Metro-Goldwyn-Mayer (MGM)
1985,National Lampoon's European Vacation,"$49,364,621","1,547","$49,364,621",Jul 26,Warner Bros.
1985,Mask,"$45,935,061","1,024","$48,230,162",Mar 8,Universal Pictures
1985,The Breakfast Club,"$45,875,171","1,118","$45,875,171",Feb 15,Universal Pictures
1985,Pale Rider,"$41,410,568","1,710","$41,410,568",Jun 28,Warner Bros.
1985,Pee-wee's Big Adventure,"$40,940,662",894,"$40,940,662",Aug 9,Warner Bros.
1985,Brewster's Millions,"$40,833,132","1,521","$40,833,132",May 22,Universal Pictures
1985,E.T. the Extra-Terrestrial,"$40,607,502","1,701","$40,607,502",Jul 19,Universal Pictures
1985,Jagged Edge,"$40,491,165","1,139","$40,491,165",Oct 4,Columbia Pictures
1985,Mad Max Beyond Thunderdome,"$36,230,219","1,475","$36,230,219",Jul 12,Warner Bros.
1985,Spies Like Us,"$35,292,455","1,700","$60,088,980",Dec 6,Warner Bros.
1985,Commando,"$35,100,000","1,504","$35,100,000",Oct 4,Twentieth Century Fox
1985,The Killing Fields,"$33,398,595",663,"$34,700,291",Nov 2,Warner Bros.
1985,Teen Wolf,"$33,086,611","1,425","$33,086,611",Aug 23,Atlantic Releasing Corporation
1985,Silverado,"$32,192,570","1,190","$32,192,570",Jul 12,Columbia Pictures
1985,St. Elmo's Fire,"$31,981,246","1,207","$37,803,872",Jun 28,Columbia Pictures
1985,Amadeus,"$31,437,684",802,"$51,564,280",Sep 21,Orion Pictures
1985,The Jewel of the Nile,"$29,806,725","1,490","$75,973,200",Dec 13,Twentieth Century Fox
1985,Desperately Seeking Susan,"$27,398,584","1,108","$27,398,584",Mar 29,Orion Pictures
1985,Prizzi's Honor,"$26,657,534",722,"$26,657,534",Jun 14,Twentieth Century Fox
1985,A Passage to India,"$26,398,648",650,"$27,187,653",Dec 14,Columbia Pictures
1985,The Last Dragon,"$25,754,284","1,039","$25,754,284",Mar 22,TriStar Pictures
1985,Fright Night,"$24,922,237","1,545","$24,922,237",Aug 2,Columbia Pictures
1985,Summer Rental,"$24,689,703","1,595","$24,689,703",Aug 9,Paramount Pictures
1985,The Emerald Forest,"$24,468,550","1,110","$24,468,550",Jul 5,Embassy Pictures
1985,Weird Science,"$23,834,048","1,172","$23,834,048",Aug 2,Universal Pictures
1985,White Nights,"$23,601,592","1,064","$42,160,849",Nov 22,Columbia Pictures
1985,Agnes of God,"$23,557,261",646,"$25,627,836",Sep 13,Columbia Pictures
