year,name,gross,theaters,totalGross,relDate,distributor
1984,Ghostbusters,"$220,919,997","1,506","$229,242,989",Jun 8,Columbia Pictures
1984,Indiana Jones and the Temple of Doom,"$179,870,271","1,687","$179,870,271",May 23,Paramount Pictures
1984,Gremlins,"$148,168,459","1,537","$148,168,459",Jun 8,Warner Bros.
1984,The Karate Kid,"$90,815,558","1,111","$90,815,558",Jun 22,Columbia Pictures
1984,Police Academy,"$81,198,894","1,587","$81,198,894",Mar 23,Warner Bros.
1984,Footloose,"$80,035,402","1,384","$80,035,402",Feb 17,Paramount Pictures
1984,Beverly Hills Cop,"$77,455,497","2,006","$234,760,478",Dec 5,Paramount Pictures
1984,Star Trek III: The Search for Spock,"$76,471,046","1,966","$76,471,046",Jun 1,Paramount Pictures
1984,Terms of Endearment,"$74,420,269","1,259","$108,423,489",Nov 23,Paramount Pictures
1984,Romancing the Stone,"$74,348,839","1,110","$76,572,238",Mar 30,Twentieth Century Fox
1984,Splash,"$69,821,334","1,186","$69,821,334",Mar 9,Walt Disney Studios Motion Pictures
1984,Purple Rain,"$68,392,977","1,022","$68,392,977",Jul 27,Warner Bros.
1984,Tightrope,"$48,143,579","1,535","$48,143,579",Aug 17,Warner Bros.
1984,The Natural,"$47,951,979","1,012","$47,951,979",May 11,TriStar Pictures
1984,"Greystoke: The Legend of Tarzan, Lord of the Apes","$45,858,563","1,175","$45,858,563",Mar 30,Warner Bros.
1984,Revenge of the Nerds,"$40,874,452",989,"$40,874,452",Jul 20,Twentieth Century Fox
1984,Breakin',"$38,682,707","1,121","$38,682,707",May 4,Cannon Film Distributors
1984,Bachelor Party,"$38,435,947","1,276","$38,435,947",Jun 29,Twentieth Century Fox
1984,Red Dawn,"$38,376,497","1,822","$38,376,497",Aug 10,Metro-Goldwyn-Mayer (MGM)
1984,All of Me,"$36,403,064","1,200","$36,403,064",Sep 21,Universal Pictures
1984,The Terminator,"$34,004,606","1,112","$38,371,200",Oct 26,Orion Pictures
1984,Friday the 13th: The Final Chapter,"$32,980,880","1,600","$32,980,880",Apr 13,Paramount Pictures
1984,Conan the Destroyer,"$31,042,035","1,249","$31,042,035",Jun 29,Universal Pictures
1984,Sudden Impact,"$30,792,332","1,602","$67,642,693",Dec 9,Warner Bros.
1984,Silkwood,"$29,597,605",843,"$35,615,609",Dec 16,Twentieth Century Fox
1984,The Last Starfighter,"$28,733,290","1,287","$28,733,290",Jul 13,Universal Pictures
1984,Places in the Heart,"$28,539,417",868,"$34,901,614",Sep 21,TriStar Pictures
1984,Cannonball Run II,"$28,078,073","1,845","$28,078,073",Jun 29,Warner Bros.
1984,Teachers,"$27,774,237","1,721","$27,774,237",Oct 5,Metro-Goldwyn-Mayer (MGM)
1984,2010: The Year We Make Contact,"$25,950,517","1,213","$40,400,657",Dec 7,Metro-Goldwyn-Mayer (MGM)
1984,The Muppets Take Manhattan,"$25,534,703","1,261","$25,534,703",Jul 13,TriStar Pictures
1984,Scarface,"$25,439,938","1,008","$44,668,798",Dec 9,Universal Pictures
1984,The Woman in Red,"$25,308,147","1,069","$25,308,147",Aug 17,Orion Pictures
1984,Moscow on the Hudson,"$25,068,724",721,"$25,068,724",Apr 6,Columbia Pictures
1984,City Heat,"$24,729,430","1,655","$38,348,988",Dec 7,Warner Bros.
1984,Yentl,"$24,451,981",747,"$40,218,899",Nov 18,Metro-Goldwyn-Mayer (MGM)
1984,Sixteen Candles,"$23,686,027","1,245","$23,686,027",May 4,Universal Pictures
1984,The Jungle Book,"$23,456,945","1,463","$23,456,945",Jul 27,Walt Disney Studios Motion Pictures
1984,Against All Odds,"$21,689,062",979,"$21,689,062",Mar 2,Columbia Pictures
1984,Missing in Action,"$21,630,008","1,209","$22,812,411",Nov 16,Cannon Film Distributors
1984,Rhinestone,"$21,435,321","1,630","$21,435,321",Jun 22,Twentieth Century Fox
1984,Never Cry Wolf,"$20,573,773",540,"$29,600,000",Oct 7,Walt Disney Studios Motion Pictures
1984,Top Secret!,"$20,458,340","1,100","$20,458,340",Jun 22,Paramount Pictures
1984,Hot Dog... The Movie,"$20,307,325","1,276","$20,307,325",Jan 13,Metro-Goldwyn-Mayer (MGM)
1984,The NeverEnding Story,"$20,158,808",950,"$20,158,808",Jul 20,Warner Bros.
1984,Unfaithfully Yours,"$19,928,200",831,"$19,928,200",Feb 10,Twentieth Century Fox
1984,"Oh, God! You Devil","$19,921,935","1,384","$21,538,850",Nov 9,Warner Bros.
1984,Uncommon Valor,"$19,304,137","1,076","$30,503,151",Dec 16,Paramount Pictures
1984,Best Defense,"$19,265,302","1,425","$19,265,302",Jul 20,Paramount Pictures
1984,Dune,"$19,015,391",975,"$30,925,690",Dec 14,Universal Pictures
1984,A Soldier's Story,"$18,961,558",581,"$21,821,347",Sep 14,Columbia Pictures
1984,Blame It on Rio,"$18,644,570","1,234","$18,644,570",Feb 17,Twentieth Century Fox
1984,Lassiter,"$17,513,452",945,"$17,513,452",Feb 17,Warner Bros.
1984,Angel,"$17,488,564",499,"$17,488,564",Jan 13,New World Pictures
