year,name,gross,theaters,totalGross,relDate,distributor
2000,How the Grinch Stole Christmas,"$251,628,705","3,256","$260,044,825",Nov 17,Universal Pictures
2000,Mission: Impossible II,"$215,409,889","3,669","$215,409,889",May 24,Paramount Pictures
2000,Gladiator,"$186,610,052","3,188","$187,705,427",May 5,DreamWorks Distribution
2000,The Perfect Storm,"$182,618,434","3,407","$182,618,434",Jun 30,Warner Bros.
2000,Meet the Parents,"$161,146,255","2,697","$166,244,045",Oct 6,Universal Pictures
2000,X-Men,"$157,299,718","3,112","$157,299,718",Jul 14,Twentieth Century Fox
2000,Scary Movie,"$157,019,771","3,301","$157,019,771",Jul 7,Miramax
2000,What Lies Beneath,"$155,359,812","2,925","$155,464,351",Jul 21,DreamWorks Distribution
2000,Dinosaur,"$137,748,063","3,319","$137,748,063",May 19,Walt Disney Studios Motion Pictures
2000,Erin Brockovich,"$125,595,205","3,070","$125,595,205",Mar 17,Universal Pictures
2000,Nutty Professor II: The Klumps,"$123,305,415","3,251","$123,309,890",Jul 28,Universal Pictures
2000,Charlie's Angels,"$122,693,797","3,037","$125,305,545",Nov 3,Sony Pictures Entertainment (SPE)
2000,Big Momma's House,"$117,559,438","2,854","$117,559,438",Jun 2,Twentieth Century Fox
2000,Remember the Titans,"$113,546,621","2,803","$115,654,751",Sep 29,Walt Disney Studios Motion Pictures
2000,The Patriot,"$113,330,342","3,061","$113,330,342",Jun 28,Sony Pictures Entertainment (SPE)
2000,What Women Want,"$110,187,917","3,092","$182,811,707",Dec 15,Paramount Pictures
2000,Chicken Run,"$106,834,564","2,953","$106,834,564",Jun 23,DreamWorks Distribution
2000,Gone in 60 Seconds,"$101,648,571","3,089","$101,648,571",Jun 9,Walt Disney Studios Motion Pictures
2000,Cast Away,"$100,628,725","3,061","$233,632,142",Dec 22,Twentieth Century Fox
2000,"Me, Myself & Irene","$90,570,999","3,087","$90,570,999",Jun 23,Twentieth Century Fox
2000,Space Cowboys,"$90,107,204","2,835","$90,464,773",Aug 4,Warner Bros.
2000,Scream 3,"$89,143,175","3,467","$89,143,175",Feb 4,Dimension Films
2000,Unbreakable,"$88,304,876","2,708","$95,011,339",Nov 22,Walt Disney Studios Motion Pictures
2000,U-571,"$77,122,415","2,820","$77,122,415",Apr 21,Universal Pictures
2000,Hollow Man,"$73,209,340","2,956","$73,209,340",Aug 4,Sony Pictures Entertainment (SPE)
2000,Stuart Little,"$72,701,240","3,151","$140,035,367",Dec 17,Sony Pictures Entertainment (SPE)
2000,Shaft,"$70,334,258","2,433","$70,334,258",Jun 16,Paramount Pictures
2000,The Green Mile,"$69,839,360","2,875","$136,801,374",Dec 10,Warner Bros.
2000,The Kid,"$69,691,949","2,343","$69,691,949",Jul 7,Walt Disney Studios Motion Pictures
