year,name,gross,theaters,totalGross,relDate,distributor
1997,Men in Black,"$250,690,539","3,180","$250,690,539",Jul 2,Sony Pictures Entertainment (SPE)
1997,The Lost World: Jurassic Park,"$229,086,679","3,565","$229,086,679",May 23,Universal Pictures
1997,Liar Liar,"$181,410,615","2,909","$181,410,615",Mar 21,Universal Pictures
1997,Air Force One,"$171,482,545","2,981","$172,956,409",Jul 25,Sony Pictures Entertainment (SPE)
1997,Star Wars: Episode IV - A New Hope,"$137,690,767","2,375","$138,257,865",Jan 31,Twentieth Century Fox
1997,My Best Friend's Wedding,"$127,120,029","2,376","$127,120,029",Jun 20,Sony Pictures Entertainment (SPE)
1997,Titanic,"$112,594,173","3,265","$600,788,188",Dec 19,Paramount Pictures
1997,Face/Off,"$112,276,146","2,851","$112,276,146",Jun 27,Paramount Pictures
1997,Batman & Robin,"$107,325,195","2,942","$107,325,195",Jun 20,Warner Bros.
1997,George of the Jungle,"$105,263,257","2,616","$105,263,257",Jul 18,Walt Disney Studios Motion Pictures
1997,Con Air,"$101,117,573","2,941","$101,117,573",Jun 6,Walt Disney Studios Motion Pictures
1997,Hercules,"$99,112,101","2,930","$99,112,101",Jun 15,Walt Disney Studios Motion Pictures
1997,Contact,"$99,040,239","2,314","$100,920,329",Jul 11,Warner Bros.
1997,Jerry Maguire,"$88,276,775","2,531","$153,952,592",Dec 13,Sony Pictures Entertainment (SPE)
1997,Flubber,"$77,127,245","2,679","$92,977,226",Nov 26,Walt Disney Studios Motion Pictures
1997,Conspiracy Theory,"$75,982,834","2,806","$75,982,834",Aug 8,Warner Bros.
1997,Scream 2,"$75,894,584","2,688","$101,363,301",Dec 12,Dimension Films
1997,Scream,"$74,888,488","1,994","$103,046,663",Dec 20,Dimension Films
1997,Tomorrow Never Dies,"$73,340,938","2,807","$125,304,276",Dec 19,Metro-Goldwyn-Mayer (MGM)
1997,I Know What You Did Last Summer,"$72,586,134","2,524","$72,586,134",Oct 17,Sony Pictures Entertainment (SPE)
1997,Dante's Peak,"$67,127,760","2,761","$67,127,760",Feb 7,Universal Pictures
1997,Star Wars: Episode V - The Empire Strikes Back,"$66,633,883","2,322","$67,597,694",Feb 21,Twentieth Century Fox
1997,Anaconda,"$65,885,767","2,456","$65,885,767",Apr 11,Sony Pictures Entertainment (SPE)
1997,In & Out,"$63,856,929","2,452","$63,856,929",Sep 19,Paramount Pictures
1997,The Fifth Element,"$63,820,180","2,500","$63,820,180",May 9,Sony Pictures Entertainment (SPE)
1997,Michael,"$63,413,893","2,325","$95,318,203",Dec 25,New Line Cinema
1997,The Saint,"$61,363,304","2,500","$61,363,304",Apr 4,Paramount Pictures
1997,Kiss the Girls,"$60,527,873","2,406","$60,527,873",Oct 3,Paramount Pictures
1997,Jungle 2 Jungle,"$59,927,618","2,340","$59,927,618",Mar 7,Walt Disney Studios Motion Pictures
1997,The Devil's Advocate,"$58,994,812","2,404","$60,944,660",Oct 17,Warner Bros.
1997,The Jackal,"$54,930,280","2,309","$54,930,280",Nov 14,Universal Pictures
1997,The English Patient,"$54,880,610","1,409","$78,676,425",Nov 15,Miramax
1997,Spawn,"$54,870,175","2,604","$54,870,175",Aug 1,New Line Cinema
1997,Starship Troopers,"$54,814,377","2,971","$54,814,377",Nov 7,Sony Pictures Entertainment (SPE)
1997,Austin Powers: International Man of Mystery,"$53,883,989","2,187","$53,883,989",May 2,New Line Cinema
1997,Anastasia,"$50,242,679","2,511","$58,406,347",Nov 14,Twentieth Century Fox
1997,Breakdown,"$50,159,144","2,348","$50,159,144",May 2,Paramount Pictures
1997,Absolute Power,"$50,068,310","2,568","$50,068,310",Feb 14,Sony Pictures Entertainment (SPE)
1997,Evita,"$49,587,092","1,045","$50,047,179",Dec 25,Walt Disney Studios Motion Pictures
1997,Volcano,"$49,323,468","2,777","$49,323,468",Apr 25,Twentieth Century Fox
1997,Speed 2: Cruise Control,"$48,608,066","2,625","$48,608,066",Jun 13,Twentieth Century Fox
1997,The Game,"$48,323,648","2,521","$48,323,648",Sep 12,PolyGram
1997,G.I. Jane,"$48,169,156","2,043","$48,169,156",Aug 22,Walt Disney Studios Motion Pictures
1997,Alien: Resurrection,"$47,795,658","2,449","$47,795,658",Nov 26,Twentieth Century Fox
1997,The Rainmaker,"$45,916,769","2,369","$45,916,769",Nov 21,Paramount Pictures
1997,Bean,"$45,319,423","2,015","$45,319,423",Oct 17,Gramercy Pictures (I)
1997,Cop Land,"$44,862,187","2,233","$44,862,187",Aug 15,Miramax
1997,Nothing to Lose,"$44,480,039","1,888","$44,480,039",Jul 18,Walt Disney Studios Motion Pictures
1997,Star Wars: Episode VI - Return of the Jedi,"$44,125,486","2,111","$45,470,437",Mar 14,Twentieth Century Fox
1997,Soul Food,"$43,700,855","1,350","$43,700,855",Sep 26,Twentieth Century Fox
1997,The Devil's Own,"$42,868,348","2,504","$42,868,348",Mar 28,Sony Pictures Entertainment (SPE)
1997,Donnie Brasco,"$41,909,762","1,593","$41,909,762",Feb 28,Sony Pictures Entertainment (SPE)
1997,Private Parts,"$41,230,799","2,217","$41,230,799",Mar 7,Paramount Pictures
1997,The Peacemaker,"$41,183,406","2,420","$41,263,140",Sep 26,DreamWorks Distribution
1997,Money Talks,"$40,922,619","2,033","$40,922,619",Aug 22,New Line Cinema
1997,Seven Years in Tibet,"$37,957,682","2,103","$37,957,682",Oct 10,Sony Pictures Entertainment (SPE)
1997,Vegas Vacation,"$36,400,360","2,070","$36,400,360",Feb 14,Warner Bros.
1997,Mortal Kombat: Annihilation,"$35,927,406","2,140","$35,927,406",Nov 21,New Line Cinema
1997,Selena,"$35,281,794","1,873","$35,281,794",Mar 21,Warner Bros.
1997,Addicted to Love,"$34,673,095","2,021","$34,673,095",May 23,Warner Bros.
1997,The Full Monty,"$34,453,706",783,"$45,950,122",Aug 15,Fox Searchlight Pictures
1997,The Relic,"$33,956,608","2,128","$33,956,608",Jan 10,Paramount Pictures
1997,Metro,"$32,000,301","2,005","$32,000,301",Jan 17,Walt Disney Studios Motion Pictures
1997,Shine,"$31,709,186","1,050","$35,892,330",Nov 22,Fine Line Features
1997,L.A. Confidential,"$31,511,826","1,625","$64,616,940",Sep 19,Warner Bros.
1997,Beverly Hills Ninja,"$31,480,418","2,112","$31,480,418",Jan 17,Sony Pictures Entertainment (SPE)
1997,Picture Perfect,"$31,407,873","1,727","$31,407,873",Aug 1,Twentieth Century Fox
1997,Fools Rush In,"$29,481,428","1,701","$29,481,428",Feb 14,Sony Pictures Entertainment (SPE)
1997,Romy and Michele's High School Reunion,"$29,235,353","1,607","$29,235,353",Apr 25,Walt Disney Studios Motion Pictures
1997,Out to Sea,"$29,022,252","1,736","$29,022,252",Jul 4,Twentieth Century Fox
1997,Fathers' Day,"$28,598,376","2,507","$28,598,376",May 9,Warner Bros.
1997,Mousehunt,"$28,584,968","2,233","$61,917,389",Dec 19,DreamWorks Distribution
1997,Grosse Pointe Blank,"$28,084,357","1,242","$28,084,357",Apr 11,Walt Disney Studios Motion Pictures
1997,101 Dalmatians,"$27,948,612","2,901","$136,189,294",Nov 27,Walt Disney Studios Motion Pictures
1997,The Edge,"$27,873,386","2,355","$27,873,386",Sep 26,Twentieth Century Fox
1997,The Little Mermaid,"$27,187,616","2,057","$27,187,616",Nov 14,Walt Disney Studios Motion Pictures
1997,Event Horizon,"$26,673,242","2,328","$26,673,242",Aug 15,Paramount Pictures
1997,Boogie Nights,"$26,400,640","1,003","$26,400,640",Oct 10,New Line Cinema
1997,Murder at 1600,"$25,804,707","2,158","$25,804,707",Apr 18,Warner Bros.
1997,Mimic,"$25,480,490","2,255","$25,480,490",Aug 22,Miramax
1997,Midnight in the Garden of Good and Evil,"$25,105,255","1,312","$25,105,255",Nov 21,Warner Bros.
1997,Sling Blade,"$24,407,477","1,020","$24,444,121",Nov 29,Miramax
1997,As Good as It Gets,"$24,394,469","1,837","$148,478,011",Dec 23,Sony Pictures Entertainment (SPE)
1997,One Fine Day,"$24,300,630","1,975","$46,151,454",Dec 20,Twentieth Century Fox
1997,Good Burger,"$23,712,993","1,893","$23,712,993",Jul 25,Paramount Pictures
1997,Hoodlum,"$23,499,102","2,020","$23,499,102",Aug 29,Metro-Goldwyn-Mayer (MGM)
1997,Air Bud,"$23,144,499","1,795","$23,144,499",Aug 1,Walt Disney Studios Motion Pictures
1997,Red Corner,"$22,459,274","2,507","$22,459,274",Oct 31,Metro-Goldwyn-Mayer (MGM)
1997,Amistad,"$20,636,332","1,019","$44,229,441",Dec 10,DreamWorks Distribution
1997,For Richer or Poorer,"$20,190,107","1,954","$31,642,995",Dec 12,Universal Pictures
1997,Booty Call,"$20,050,376","1,272","$20,050,376",Feb 28,Sony Pictures Entertainment (SPE)
1997,Gone Fishin',"$19,745,922","1,846","$19,745,922",May 30,Walt Disney Studios Motion Pictures
1997,Beavis and Butt-Head Do America,"$19,719,744","2,417","$63,118,386",Dec 20,Paramount Pictures
1997,The People vs. Larry Flynt,"$19,481,439","1,233","$20,300,385",Dec 27,Sony Pictures Entertainment (SPE)
1997,Home Alone 3,"$19,236,073","2,261","$30,882,515",Dec 12,Twentieth Century Fox
1997,Mother,"$18,917,158",735,"$19,145,198",Dec 27,Paramount Pictures
1997,That Darn Cat,"$18,301,610","1,891","$18,301,610",Feb 14,Walt Disney Studios Motion Pictures
1997,The Preacher's Wife,"$18,125,665","2,008","$48,102,795",Dec 13,Walt Disney Studios Motion Pictures
1997,Jackie Brown,"$17,571,207","1,642","$39,673,162",Dec 25,Miramax
1997,That Old Feeling,"$16,574,176","1,599","$16,574,176",Apr 4,Universal Pictures
1997,Fire Down Below,"$16,228,448","2,350","$16,228,448",Sep 5,Warner Bros.
1997,Wishmaster,"$15,738,769","2,502","$15,738,769",Sep 19
1997,RocketMan,"$15,448,043","1,867","$15,448,043",Oct 10,Walt Disney Studios Motion Pictures
1997,First Strike,"$15,318,863","1,344","$15,318,863",Jan 10,New Line Cinema
1997,Eve's Bayou,"$14,842,388",672,"$14,842,388",Nov 7,Trimark Pictures
1997,The Sixth Man,"$14,772,788","1,231","$14,772,788",Mar 28,Walt Disney Studios Motion Pictures
1997,Excess Baggage,"$14,515,490","2,211","$14,515,490",Aug 29,Sony Pictures Entertainment (SPE)
1997,In Love and War,"$14,477,119","1,612","$14,481,231",Dec 18,New Line Cinema
1997,FairyTale: A True Story,"$14,059,077","1,286","$14,059,077",Oct 24,Paramount Pictures
1997,How to Be a Player,"$14,009,368",756,"$14,009,368",Aug 8,Gramercy Pictures (I)
1997,An American Werewolf in Paris,"$13,867,313","1,731","$26,570,463",Dec 25,Walt Disney Studios Motion Pictures
1997,The Man Who Knew Too Little,"$13,717,039","2,039","$13,717,039",Nov 14,Warner Bros.
1997,The Wings of the Dove,"$13,678,836",261,"$13,692,848",Nov 7,Miramax
1997,Trial and Error,"$13,602,831","2,298","$13,602,831",May 30,New Line Cinema
1997,Rosewood,"$13,130,349",991,"$13,130,349",Feb 21,Warner Bros.
1997,Secrets & Lies,"$13,040,360",296,"$13,417,292",Sep 28,October Films
1997,Ghosts of Mississippi,"$12,782,812","1,268","$13,323,144",Dec 20,Sony Pictures Entertainment (SPE)
1997,Marvin's Room,"$12,633,548","1,158","$12,803,305",Dec 20,Miramax
1997,Gattaca,"$12,532,777","1,279","$12,532,777",Oct 24,Sony Pictures Entertainment (SPE)
1997,Love Jones,"$12,479,335",821,"$12,479,335",Mar 14,New Line Cinema
1997,Chasing Amy,"$11,987,354",553,"$12,021,272",Apr 4,Miramax
1997,Turbulence,"$11,538,235","2,094","$11,538,235",Jan 10,Metro-Goldwyn-Mayer (MGM)
1997,The Beautician and the Beast,"$11,486,880","1,801","$11,486,880",Feb 7,Paramount Pictures
1997,Double Team,"$11,438,337","2,203","$11,438,337",Apr 4,Sony Pictures Entertainment (SPE)
1997,Ransom,"$10,990,631","2,768","$136,492,681",Nov 8,Walt Disney Studios Motion Pictures
1997,Leave It to Beaver,"$10,925,060","1,885","$10,925,060",Aug 22,Universal Pictures
1997,Mad City,"$10,541,523","2,194","$10,541,523",Nov 7,Warner Bros.
1997,Operation Condor,"$10,405,394","1,532","$10,405,394",Jul 18,Miramax
1997,Mars Attacks!,"$10,160,726","1,955","$37,771,017",Dec 13,Warner Bros.
1997,My Fellow Americans,"$10,116,054","1,915","$22,313,201",Dec 20,Warner Bros.
1997,Buddy,"$10,113,400","2,113","$10,113,400",Jun 6,Sony Pictures Entertainment (SPE)
1997,Mr. Magoo,"$10,045,114","1,857","$21,437,192",Dec 25,Walt Disney Studios Motion Pictures
1997,Night Falls on Manhattan,"$9,889,670",758,"$9,889,670",May 16,Paramount Pictures
1997,Everyone Says I Love You,"$9,627,522",276,"$9,759,200",Dec 6,Miramax
1997,The Postman,"$9,473,737","2,207","$17,626,234",Dec 25,Warner Bros.
1997,Fierce Creatures,"$9,381,260","1,620","$9,381,260",Jan 24,Universal Pictures
1997,Ulee's Gold,"$9,161,691",350,"$9,161,691",Jun 13,Metro-Goldwyn-Mayer (MGM)
1997,Mrs. Brown,"$9,020,166",432,"$9,229,808",Jul 18,Miramax
1997,Turbo: A Power Rangers Movie,"$8,363,899","2,113","$8,363,899",Mar 28,Twentieth Century Fox
1997,A Simple Wish,"$8,345,056","1,699","$8,345,056",Jul 11,Universal Pictures
1997,The Ice Storm,"$8,038,061",230,"$8,038,061",Sep 27,Fox Searchlight Pictures
1997,A Thousand Acres,"$7,936,780","1,228","$7,936,780",Sep 19,Walt Disney Studios Motion Pictures
1997,Space Jam,"$7,584,501","2,650","$90,418,342",Nov 15,Warner Bros.
1997,Sprung,"$7,575,028",780,"$7,575,028",May 16,Trimark Pictures
1997,Wild America,"$7,342,923","1,812","$7,342,923",Jul 4,Warner Bros.
1997,She's So Lovely,"$7,281,450",844,"$7,281,450",Aug 27,Miramax
1997,B*A*P*S,"$7,246,735","1,204","$7,246,735",Mar 28,New Line Cinema
1997,Zeus and Roxanne,"$7,233,324","1,745","$7,233,324",Jan 24,Metro-Goldwyn-Mayer (MGM)
1997,Daylight,"$7,153,130","2,189","$33,023,469",Dec 6,Universal Pictures
1997,U Turn,"$6,682,098","1,311","$6,682,098",Oct 3,Sony Pictures Entertainment (SPE)
1997,The Evening Star,"$6,597,030","1,268","$12,767,815",Dec 27,Paramount Pictures
1997,Warriors of Virtue,"$6,524,620","2,101","$6,524,620",May 2,Metro-Goldwyn-Mayer (MGM)
1997,Switchback,"$6,492,660","1,128","$6,492,660",Oct 31,Paramount Pictures
1997,Jingle All the Way,"$6,492,513","2,404","$60,592,389",Nov 22,Twentieth Century Fox
1997,Most Wanted,"$6,391,946","2,098","$6,391,946",Oct 10,New Line Cinema
1997,Kull the Conqueror,"$6,112,613","2,091","$6,112,613",Aug 29,Universal Pictures
1997,Star Trek: First Contact,"$6,035,904","2,812","$92,027,888",Nov 22,Paramount Pictures
1997,Inventing the Abbotts,"$5,936,344",898,"$5,936,344",Apr 4,Twentieth Century Fox
1997,Gang Related,"$5,906,773","1,260","$5,906,773",Oct 10,Metro-Goldwyn-Mayer (MGM)
1997,One Eight Seven,"$5,727,130","1,121","$5,727,130",Jul 30,Warner Bros.
1997,Gridlock'd,"$5,571,205",743,"$5,571,205",Jan 31,Gramercy Pictures (I)
1997,Dangerous Ground,"$5,303,931",808,"$5,303,931",Feb 14,New Line Cinema
1997,Romeo + Juliet,"$4,683,262","1,963","$46,351,345",Nov 1,Twentieth Century Fox
1997,Les Boys,"$4,602,341",52,"$4,602,341",Dec 12,Lionsgate
1997,Hamlet,"$4,560,835",93,"$4,708,156",Dec 27,Sony Pictures Entertainment (SPE)
1997,McHale's Navy,"$4,529,843","1,861","$4,529,843",Apr 18,Universal Pictures
1997,The Crucible,"$4,523,171",344,"$7,343,114",Nov 29,Twentieth Century Fox
1997,Good Will Hunting,"$4,402,877","2,203","$138,433,435",Dec 5,Miramax
1997,A Life Less Ordinary,"$4,366,722","1,208","$4,366,722",Oct 24,Twentieth Century Fox
1997,Playing God,"$4,166,918","1,479","$4,166,918",Oct 17,Walt Disney Studios Motion Pictures
1997,Kama Sutra: A Tale of Love,"$4,153,997",81,"$4,109,095",Feb 28,Trimark Pictures
1997,Meet Wally Sparks,"$4,073,582","1,552","$4,073,582",Jan 31,Trimark Pictures
1997,Kolya,"$3,982,870",128,"$5,770,254",Jan 17,Miramax
1997,Lost Highway,"$3,675,201",337,"$3,675,201",Feb 21,October Films
1997,8 Heads in a Duffel Bag,"$3,602,884","1,553","$3,602,884",Apr 18,Orion Pictures
1997,The Pest,"$3,600,616","1,205","$3,600,616",Feb 7,Sony Pictures Entertainment (SPE)
1997,Cats Don't Dance,"$3,566,637","1,252","$3,566,637",Mar 28,Warner Bros.
1997,The Portrait of a Lady,"$3,558,031",570,"$3,692,836",Dec 27,Gramercy Pictures (I)
1997,'Til There Was You,"$3,525,125",753,"$3,525,125",May 30,Paramount Pictures
1997,Free Willy 3: The Rescue,"$3,446,539","1,258","$3,446,539",Aug 8,Warner Bros.
