year,name,gross,theaters,totalGross,relDate,distributor
2006,Pirates of the Caribbean: Dead Man's Chest,"$423,317,154","4,133","$423,315,812",Jul 7,Walt Disney Studios Motion Pictures
2006,Cars,"$244,082,982","3,988","$244,082,982",Jun 9,Walt Disney Studios Motion Pictures
2006,X-Men: The Last Stand,"$234,362,462","3,714","$234,362,462",May 26,Twentieth Century Fox
2006,The Da Vinci Code,"$217,536,138","3,757","$217,536,138",May 19,Sony Pictures Entertainment (SPE)
2006,Superman Returns,"$200,081,192","4,065","$200,081,192",Jun 28,Warner Bros.
2006,Ice Age 2: The Meltdown,"$195,330,621","3,969","$195,330,621",Mar 31,Twentieth Century Fox
2006,Happy Feet,"$175,967,627","3,804","$198,000,317",Nov 17,Warner Bros.
2006,Over the Hedge,"$155,019,340","4,093","$155,019,340",May 19,DreamWorks
2006,Casino Royale,"$153,531,944","3,443","$167,445,960",Nov 17,Sony Pictures Entertainment (SPE)
2006,Talladega Nights: The Ballad of Ricky Bobby,"$148,213,377","3,807","$148,213,377",Aug 4,Sony Pictures Entertainment (SPE)
2006,Click,"$137,355,633","3,764","$137,355,633",Jun 23,Revolution Studios
2006,Mission: Impossible III,"$134,029,801","4,059","$134,029,801",May 5,Paramount Pictures
2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,"$125,601,414","2,611","$128,505,958",Nov 3,Twentieth Century Fox
2006,The Devil Wears Prada,"$124,740,460","2,882","$124,740,460",Jun 30,Twentieth Century Fox
2006,The Departed,"$120,359,613","3,017","$132,384,315",Oct 6,Warner Bros.
2006,The Break-Up,"$118,703,275","3,146","$118,703,275",Jun 2,Universal Pictures
2006,Night at the Museum,"$115,822,154","3,768","$250,863,268",Dec 22,Twentieth Century Fox
2006,The Pursuit of Happyness,"$98,411,670","3,169","$163,566,459",Dec 15,Sony Pictures Entertainment (SPE)
2006,Scary Movie 4,"$90,710,620","3,674","$90,710,620",Apr 14
2006,Failure to Launch,"$88,715,192","3,202","$88,715,192",Mar 10,Paramount Pictures
2006,Inside Man,"$88,513,495","2,867","$88,513,495",Mar 24,Universal Pictures
2006,Open Season,"$84,303,558","3,833","$85,105,259",Sep 29,Sony Pictures Entertainment (SPE)
2006,The Santa Clause 3: The Escape Clause,"$83,549,047","3,458","$84,500,122",Nov 3,Walt Disney Studios Motion Pictures
2006,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","$82,270,870","3,853","$291,710,957",Dec 9,Walt Disney Studios Motion Pictures
2006,The Pink Panther,"$82,226,474","3,477","$82,226,474",Feb 10,Sony Pictures Entertainment (SPE)
2006,Eight Below,"$81,612,565","3,122","$81,612,565",Feb 17,Walt Disney Studios Motion Pictures
2006,Saw III,"$80,238,724","3,167","$80,238,724",Oct 27,Lionsgate
2006,Nacho Libre,"$80,197,993","3,083","$80,197,993",Jun 16,Paramount Pictures
