year,name,gross,theaters,totalGross,relDate,distributor
1994,The Lion King,"$295,691,076","2,624","$312,855,561",Jun 15,Walt Disney Studios Motion Pictures
1994,Forrest Gump,"$294,540,458","2,365","$329,694,499",Jul 6,Paramount Pictures
1994,True Lies,"$146,282,411","2,561","$146,282,411",Jul 15,Twentieth Century Fox
1994,The Santa Clause,"$132,242,452","2,388","$144,833,357",Nov 11,Walt Disney Studios Motion Pictures
1994,The Flintstones,"$130,531,208","2,594","$130,531,208",May 27,Universal Pictures
1994,Clear and Present Danger,"$122,187,717","2,433","$122,187,717",Aug 5,Paramount Pictures
1994,Speed,"$118,329,006","2,169","$121,248,145",Jun 10,Twentieth Century Fox
1994,The Mask,"$117,268,172","2,516","$119,938,730",Jul 29,New Line Cinema
1994,Mrs. Doubtfire,"$110,108,760","2,354","$219,195,243",Nov 24,Twentieth Century Fox
1994,Interview with the Vampire: The Vampire Chronicles,"$99,843,302","2,604","$105,264,608",Nov 11,Warner Bros.
1994,Maverick,"$94,256,012","2,537","$101,631,272",May 20,Warner Bros.
1994,Schindler's List,"$91,077,929","1,389","$96,065,768",Dec 15,Universal Pictures
1994,The Client,"$90,358,142","2,365","$92,115,211",Jul 22,Warner Bros.
1994,Philadelphia,"$75,507,143","1,604","$77,446,440",Dec 24,TriStar Pictures
1994,Stargate,"$71,567,262","2,033","$71,567,262",Oct 28,Metro-Goldwyn-Mayer (MGM)
1994,Ace Ventura: Pet Detective,"$70,372,383","1,963","$72,217,396",Feb 4,Warner Bros.
1994,Star Trek: Generations,"$70,112,961","2,681","$75,671,125",Nov 18,Paramount Pictures
1994,Wolf,"$65,002,597","2,117","$65,002,597",Jun 17,Columbia Pictures
1994,Pulp Fiction,"$62,366,889","1,494","$107,928,762",Oct 14,Miramax
1994,Grumpy Old Men,"$59,295,947","1,725","$70,172,621",Dec 25,Warner Bros.
1994,The Specialist,"$57,362,582","2,522","$57,362,582",Oct 7,Warner Bros.
1994,Dumb and Dumber,"$56,752,188","2,565","$127,175,374",Dec 16,New Line Cinema
1994,Four Weddings and a Funeral,"$51,569,473","1,069","$52,700,832",Mar 11,Gramercy Pictures (I)
1994,Naked Gun 33 1/3: The Final Insult,"$51,132,598","2,383","$51,132,598",Mar 18,Paramount Pictures
1994,The Little Rascals,"$50,964,957","1,927","$52,125,282",Aug 5,Universal Pictures
1994,The Crow,"$50,693,129","2,119","$50,693,129",May 13,Miramax
1994,The Pelican Brief,"$50,411,493","2,022","$100,768,056",Dec 17,Warner Bros.
1994,Natural Born Killers,"$50,282,766","1,904","$50,282,766",Aug 26,Warner Bros.
1994,Angels in the Outfield,"$50,236,831","1,921","$50,236,831",Jul 15,Walt Disney Studios Motion Pictures
1994,When a Man Loves a Woman,"$49,906,022","1,511","$50,021,959",Apr 29,Walt Disney Studios Motion Pictures
1994,The River Wild,"$46,816,343","2,153","$46,816,343",Sep 30,Universal Pictures
1994,D2: The Mighty Ducks,"$45,610,410","2,223","$45,610,410",Mar 25,Walt Disney Studios Motion Pictures
1994,Timecop,"$44,853,581","2,274","$44,853,581",Sep 16,Universal Pictures
1994,Disclosure,"$44,061,507","2,168","$83,015,089",Dec 9,Warner Bros.
1994,City Slickers II: The Legend of Curly's Gold,"$43,622,150","2,243","$43,622,150",Jun 10,Columbia Pictures
1994,Beverly Hills Cop III,"$42,614,912","2,748","$42,614,912",May 25,Paramount Pictures
1994,Tombstone,"$40,366,648","1,955","$56,505,065",Dec 24,Walt Disney Studios Motion Pictures
1994,On Deadly Ground,"$38,590,458","2,010","$38,590,458",Feb 18,Warner Bros.
1994,It Could Happen to You,"$37,939,757","1,544","$37,939,757",Jul 29,TriStar Pictures
1994,The Paper,"$37,597,346","1,577","$38,824,341",Mar 18,Universal Pictures
1994,The Shadow,"$32,063,435","1,769","$32,063,435",Jul 1,Universal Pictures
1994,I Love Trouble,"$30,806,194","1,746","$30,806,194",Jul 1,Walt Disney Studios Motion Pictures
1994,Major League II,"$30,626,182","2,167","$30,626,182",Apr 1,Warner Bros.
1994,Blank Check,"$30,577,969","1,732","$30,577,969",Feb 11,Walt Disney Studios Motion Pictures
1994,Blown Away,"$30,156,002","1,862","$30,156,002",Jul 1,Metro-Goldwyn-Mayer (MGM)
1994,Junior,"$30,016,730","1,896","$36,763,355",Nov 23,Universal Pictures
1994,In the Army Now,"$28,881,266","1,452","$28,881,266",Aug 12,Walt Disney Studios Motion Pictures
1994,Beethoven's 2nd,"$27,888,547","2,048","$53,443,066",Dec 17,Universal Pictures
1994,Guarding Tess,"$27,058,304","1,614","$27,058,304",Mar 11,TriStar Pictures
1994,A Low Down Dirty Shame,"$26,362,828","1,379","$29,392,418",Nov 25,Walt Disney Studios Motion Pictures
1994,Shadowlands,"$25,816,054","1,023","$25,842,377",Dec 31
1994,My Father the Hero,"$25,479,558","1,373","$25,479,558",Feb 4,Walt Disney Studios Motion Pictures
1994,In the Name of the Father,"$25,060,409",688,"$25,096,862",Dec 31,Universal Pictures
1994,Wyatt Earp,"$25,052,000","1,859","$25,052,000",Jun 24,Warner Bros.
1994,Renaissance Man,"$24,332,324","1,788","$24,332,324",Jun 3,Walt Disney Studios Motion Pictures
1994,The Piano,"$24,209,056",671,"$40,157,856",Nov 12,Miramax
1994,Blue Chips,"$23,070,663","1,980","$23,070,663",Feb 18,Paramount Pictures
1994,Sister Act 2: Back in the Habit,"$23,008,606","2,178","$57,319,029",Dec 10,Walt Disney Studios Motion Pictures
1994,Mary Shelley's Frankenstein,"$22,006,296","2,177","$22,006,296",Nov 4,Sony Pictures Entertainment (SPE)
1994,Intersection,"$21,355,893","1,300","$21,355,893",Jan 21,Paramount Pictures
