year,name,gross,theaters,totalGross,relDate,distributor
2008,The Dark Knight,"$530,924,926","4,366","$533,345,358",Jul 18,Warner Bros.
2008,Iron Man,"$318,313,199","4,154","$318,604,126",May 2,Paramount Pictures
2008,Indiana Jones and the Kingdom of the Crystal Skull,"$317,101,119","4,264","$317,101,119",May 22,Paramount Pictures
2008,Hancock,"$227,946,274","3,965","$227,946,274",Jul 2,Sony Pictures Entertainment (SPE)
2008,WALL·E,"$223,790,612","3,992","$223,808,164",Jun 27,Walt Disney Studios Motion Pictures
2008,Kung Fu Panda,"$215,434,591","4,136","$215,434,591",Jun 6,DreamWorks
2008,Madagascar: Escape 2 Africa,"$175,687,934","4,065","$180,010,950",Nov 7,DreamWorks
2008,Twilight,"$170,672,976","3,649","$192,769,854",Nov 21,Summit Entertainment
2008,Quantum of Solace,"$165,258,802","3,501","$168,368,427",Nov 14,Sony Pictures Entertainment (SPE)
2008,Horton Hears a Who!,"$154,529,439","3,961","$154,529,439",Mar 14,Twentieth Century Fox
2008,Sex and the City,"$152,647,258","3,325","$152,647,258",May 30,Warner Bros.
2008,Mamma Mia!,"$144,130,063","3,194","$144,130,063",Jul 18,Universal Pictures
2008,The Chronicles of Narnia: Prince Caspian,"$141,621,490","3,929","$141,621,490",May 16,Walt Disney Studios Motion Pictures
2008,The Incredible Hulk,"$134,806,913","3,508","$134,806,913",Jun 13,Universal Pictures
2008,Wanted,"$134,508,551","3,185","$134,508,551",Jun 27,Universal Pictures
2008,Get Smart,"$130,319,208","3,915","$130,319,208",Jun 20,Warner Bros.
2008,Juno,"$115,568,813","2,534","$143,495,265",Dec 5,Fox Searchlight Pictures
2008,Four Christmases,"$114,136,302","3,540","$120,146,040",Nov 26,Warner Bros.
2008,Tropic Thunder,"$110,515,313","3,473","$110,515,313",Aug 13,DreamWorks
2008,Bolt,"$105,380,479","3,654","$114,053,579",Nov 21,Walt Disney Studios Motion Pictures
2008,The Mummy: Tomb of the Dragon Emperor,"$102,491,776","3,778","$102,491,776",Aug 1,Universal Pictures
2008,Journey to the Center of the Earth,"$101,704,370","2,830","$101,704,370",Jul 11,Warner Bros.
2008,Eagle Eye,"$101,198,986","3,614","$101,440,743",Sep 26,DreamWorks
2008,Step Brothers,"$100,468,793","3,182","$100,468,793",Jul 25,Sony Pictures Entertainment (SPE)
2008,You Don't Mess with the Zohan,"$100,018,837","3,466","$100,018,837",Jun 6,Sony Pictures Entertainment (SPE)
2008,"10,000 BC","$94,784,201","3,454","$94,784,201",Mar 7,Warner Bros.
2008,Beverly Hills Chihuahua,"$93,034,296","3,239","$94,514,402",Oct 3,Walt Disney Studios Motion Pictures
2008,The Bucket List,"$92,719,141","2,915","$93,466,502",Dec 25,Warner Bros.
2008,High School Musical 3: Senior Year,"$89,682,061","3,626","$90,559,416",Oct 24,Walt Disney Studios Motion Pictures
2008,Pineapple Express,"$87,341,380","3,072","$87,341,380",Aug 6,Sony Pictures Entertainment (SPE)
2008,National Treasure: Book of Secrets,"$86,700,433","3,832","$219,964,115",Dec 21,Walt Disney Studios Motion Pictures
2008,21,"$81,159,365","2,952","$81,159,365",Mar 28,Sony Pictures Entertainment (SPE)
2008,What Happens in Vegas,"$80,277,646","3,255","$80,277,646",May 9,Twentieth Century Fox
2008,Jumper,"$80,172,128","3,430","$80,172,128",Feb 14,Twentieth Century Fox
2008,Cloverfield,"$80,048,433","3,411","$80,048,433",Jan 18,Paramount Pictures
2008,27 Dresses,"$76,808,654","3,074","$76,808,654",Jan 18,Twentieth Century Fox
2008,Hellboy II: The Golden Army,"$75,986,503","3,212","$75,986,503",Jul 11,Universal Pictures
2008,Marley & Me,"$72,444,071","3,505","$143,153,751",Dec 25,Twentieth Century Fox
2008,Vantage Point,"$72,266,306","3,163","$72,266,306",Feb 22,Sony Pictures Entertainment (SPE)
2008,The Spiderwick Chronicles,"$71,195,053","3,847","$71,195,053",Feb 14,Paramount Pictures
2008,Alvin and the Chipmunks,"$70,249,659","3,499","$217,326,974",Dec 14,Twentieth Century Fox
2008,Fool's Gold,"$70,231,041","3,125","$70,231,041",Feb 8,Warner Bros.
2008,The Day the Earth Stood Still,"$67,286,845","3,560","$79,366,978",Dec 12,Twentieth Century Fox
2008,Role Models,"$66,367,815","2,798","$67,294,270",Nov 7,Universal Pictures
2008,Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,"$65,281,781",687,"$65,281,781",Feb 1,Walt Disney Studios Motion Pictures
2008,The Happening,"$64,506,874","2,986","$64,506,874",Jun 13,Twentieth Century Fox
2008,Forgetting Sarah Marshall,"$63,172,463","2,872","$63,172,463",Apr 18,Universal Pictures
2008,Baby Mama,"$60,494,212","2,627","$60,494,212",Apr 25,Universal Pictures
2008,Burn After Reading,"$60,355,347","2,657","$60,355,347",Sep 12,Focus Features
2008,Yes Man,"$60,029,690","3,434","$97,690,976",Dec 19,Warner Bros.
2008,Step Up 2: The Streets,"$58,016,931","2,528","$58,017,783",Feb 14,Walt Disney Studios Motion Pictures
2008,I Am Legend,"$57,047,856","3,648","$256,393,010",Dec 14,Warner Bros.
2008,Saw V,"$56,746,769","3,084","$56,746,769",Oct 24,Lionsgate
2008,Bedtime Stories,"$56,700,912","3,684","$110,101,975",Dec 25,Walt Disney Studios Motion Pictures
2008,The Curious Case of Benjamin Button,"$52,666,148","2,988","$127,509,326",Dec 25,Paramount Pictures
2008,The Strangers,"$52,597,610","2,477","$52,597,610",May 30,Rogue Pictures
2008,The Forbidden Kingdom,"$52,075,270","3,151","$52,075,270",Apr 18,Lionsgate
2008,The House Bunny,"$48,237,389","2,763","$48,237,389",Aug 22,Sony Pictures Entertainment (SPE)
2008,Nim's Island,"$48,006,762","3,518","$48,006,762",Apr 4,Twentieth Century Fox
2008,Made of Honor,"$46,012,734","2,816","$46,012,734",May 2,Sony Pictures Entertainment (SPE)
2008,Seven Pounds,"$45,938,985","2,758","$69,951,824",Dec 19,Sony Pictures Entertainment (SPE)
2008,College Road Trip,"$45,610,425","2,706","$45,610,425",Mar 7,Walt Disney Studios Motion Pictures
2008,Australia,"$45,135,608","2,721","$49,554,002",Nov 26,Twentieth Century Fox
2008,The Sisterhood of the Traveling Pants 2,"$44,089,964","2,714","$44,089,964",Aug 6,Warner Bros.
2008,Speed Racer,"$43,945,766","3,606","$43,945,766",May 9,Warner Bros.
2008,Prom Night,"$43,869,350","2,821","$43,869,350",Apr 11,Screen Gems
2008,Rambo,"$42,754,105","2,764","$42,754,105",Jan 25,Lionsgate
2008,"Welcome Home, Roscoe Jenkins","$42,436,517","2,387","$42,436,517",Feb 8,Universal Pictures
2008,Meet the Browns,"$41,975,388","2,016","$41,975,388",Mar 21,Lionsgate
2008,Nights in Rodanthe,"$41,745,871","2,704","$41,850,659",Sep 26,Warner Bros.
2008,Valkyrie,"$40,901,858","2,838","$83,077,833",Dec 25,United Artists
2008,Max Payne,"$40,662,868","3,381","$40,689,393",Oct 17,Twentieth Century Fox
2008,Righteous Kill,"$40,081,410","3,152","$40,081,410",Sep 12,Overture Films
2008,There Will Be Blood,"$39,858,999","1,620","$40,222,514",Dec 26,Paramount Vantage
2008,Lakeview Terrace,"$39,263,506","2,574","$39,263,506",Sep 19,Screen Gems
2008,Body of Lies,"$39,203,583","2,714","$39,394,666",Oct 10,Warner Bros.
2008,Atonement,"$38,888,354","1,400","$50,927,067",Dec 7,Focus Features
2008,Meet the Spartans,"$38,233,676","2,643","$38,233,676",Jan 25,Twentieth Century Fox
2008,Harold & Kumar Escape from Guantanamo Bay,"$38,108,728","2,545","$38,108,728",Apr 25,Warner Bros.
2008,First Sunday,"$37,931,869","2,213","$37,931,869",Jan 11,Screen Gems
2008,The Secret Life of Bees,"$37,443,851","1,630","$37,770,162",Oct 17,Fox Searchlight Pictures
2008,The Family That Preys,"$37,105,289","2,070","$37,105,289",Sep 12,Lionsgate
2008,Death Race,"$36,316,032","2,586","$36,316,032",Aug 22,Universal Pictures
2008,Changeling,"$35,598,217","1,896","$35,739,802",Oct 24,Universal Pictures
2008,Star Wars: The Clone Wars,"$35,161,554","3,452","$35,161,554",Aug 15,Warner Bros.
2008,The Tale of Despereaux,"$34,019,390","3,107","$50,877,145",Dec 19,Universal Pictures
2008,Semi-Pro,"$33,540,654","3,121","$33,479,698",Feb 29,New Line Cinema
2008,Fireproof,"$33,185,636",905,"$33,456,317",Sep 26,The Samuel Goldwyn Company
2008,Drillbit Taylor,"$32,862,104","3,061","$32,862,104",Mar 21,Paramount Pictures
2008,No Country for Old Men,"$32,712,541","2,037","$74,283,625",Nov 9,Miramax
2008,"Definitely, Maybe","$32,241,649","2,220","$32,241,649",Feb 14,Universal Pictures
2008,The Love Guru,"$32,235,793","3,012","$32,235,793",Jun 20,Paramount Pictures
2008,Quarantine,"$31,691,811","2,463","$31,691,811",Oct 10,Screen Gems
2008,Transporter 3,"$31,675,631","2,626","$31,715,062",Nov 26,Lionsgate
2008,Nick and Norah's Infinite Playlist,"$31,487,293","2,421","$31,487,293",Oct 3,Sony Pictures Entertainment (SPE)
