year,name,gross,theaters,totalGross,relDate,distributor
1996,Independence Day,"$306,156,090","2,977","$306,169,268",Jul 3,Twentieth Century Fox
1996,Twister,"$241,721,524","2,808","$241,721,524",May 10,Warner Bros.
1996,Mission: Impossible,"$180,981,856","3,012","$180,981,856",May 22,Paramount Pictures
1996,The Rock,"$134,069,511","2,426","$134,069,511",Jun 7,Walt Disney Studios Motion Pictures
1996,The Nutty Professor,"$128,814,019","2,239","$128,814,019",Jun 28,Universal Pictures
1996,Ransom,"$125,502,048","2,768","$136,492,681",Nov 8,Walt Disney Studios Motion Pictures
1996,The Birdcage,"$124,060,553","2,285","$124,060,553",Mar 8,Metro-Goldwyn-Mayer (MGM)
1996,A Time to Kill,"$108,766,007","2,313","$108,766,007",Jul 24,Warner Bros.
1996,101 Dalmatians,"$108,240,682","2,901","$136,189,294",Nov 27,Walt Disney Studios Motion Pictures
1996,The First Wives Club,"$105,489,203","2,406","$105,489,203",Sep 20,Paramount Pictures
1996,Eraser,"$99,013,389","2,556","$101,295,562",Jun 21,Warner Bros.
1996,Phenomenon,"$98,208,771","2,139","$104,636,382",Jul 5,Walt Disney Studios Motion Pictures
1996,The Hunchback of Notre Dame,"$91,489,705","2,835","$100,138,851",Jun 21,Walt Disney Studios Motion Pictures
1996,Star Trek: First Contact,"$85,991,982","2,812","$92,027,888",Nov 22,Paramount Pictures
1996,Space Jam,"$82,833,835","2,650","$90,418,342",Nov 15,Warner Bros.
1996,Mr. Holland's Opus,"$82,582,959","1,659","$82,569,971",Dec 29,Walt Disney Studios Motion Pictures
1996,Broken Arrow,"$70,770,147","2,392","$70,770,147",Feb 9,Twentieth Century Fox
1996,Jerry Maguire,"$65,675,817","2,531","$153,952,592",Dec 13,Sony Pictures Entertainment (SPE)
1996,The Cable Guy,"$60,240,295","2,657","$60,240,295",Jun 14,Sony Pictures Entertainment (SPE)
1996,Courage Under Fire,"$59,031,057","2,001","$59,031,057",Jul 12,Twentieth Century Fox
