year,name,gross,theaters,totalGross,relDate,distributor
1983,Star Wars: Episode VI - Return of the Jedi,"$247,371,242","1,764","$252,583,617",May 25,Twentieth Century Fox
1983,Tootsie,"$146,259,321","1,222","$177,200,000",Dec 17,Columbia Pictures
1983,Flashdance,"$92,921,203","1,140","$92,921,203",Apr 15,Paramount Pictures
1983,Trading Places,"$90,404,800","1,389","$90,404,800",Jun 10,Paramount Pictures
1983,WarGames,"$79,567,667",977,"$79,567,667",Jun 3,Metro-Goldwyn-Mayer (MGM)
1983,Octopussy,"$67,893,619","1,339","$67,893,619",Jun 10,Metro-Goldwyn-Mayer (MGM)
1983,Staying Alive,"$64,892,670","1,747","$64,892,670",Jul 15,Paramount Pictures
1983,Risky Business,"$63,541,777","1,137","$63,541,777",Aug 5,Warner Bros.
1983,Mr. Mom,"$63,090,965","1,362","$64,783,827",Jul 22,Twentieth Century Fox
1983,National Lampoon's Vacation,"$61,399,552","1,253","$61,399,552",Jul 29,Warner Bros.
1983,Superman III,"$59,950,623","1,763","$59,950,623",Jun 17,Warner Bros.
1983,48 Hrs.,"$57,812,369","1,050","$78,868,508",Dec 10,Paramount Pictures
1983,Never Say Never Again,"$55,432,841","1,560","$55,432,841",Oct 7,Warner Bros.
1983,Gandhi,"$49,248,509",825,"$52,767,889",Dec 10,Columbia Pictures
1983,Jaws 3-D,"$45,517,055","1,311","$45,517,055",Jul 22,Universal Pictures
1983,E.T. the Extra-Terrestrial,"$44,285,943","1,778","$359,197,037",Jun 11,Universal Pictures
1983,Blue Thunder,"$42,313,354","1,555","$42,313,354",May 13,Columbia Pictures
1983,The Verdict,"$41,345,869",904,"$53,977,250",Dec 10,Twentieth Century Fox
1983,The Big Chill,"$40,473,753",832,"$56,342,711",Sep 30,Columbia Pictures
1983,Sudden Impact,"$36,850,360","1,602","$67,642,693",Dec 9,Warner Bros.
1983,Psycho II,"$34,725,000","1,488","$34,725,000",Jun 3,Universal Pictures
1983,Terms of Endearment,"$34,003,216","1,259","$108,423,489",Nov 23,Paramount Pictures
1983,Porky's II: The Next Day,"$33,759,266","1,564","$33,759,266",Jun 24,Twentieth Century Fox
1983,Snow White and the Seven Dwarfs,"$30,100,000","1,362","$30,100,000",Jul 15,Walt Disney Studios Motion Pictures
1983,Twilight Zone: The Movie,"$29,450,919","1,288","$29,450,919",Jun 24,Warner Bros.
1983,Easy Money,"$29,309,766","1,171","$29,309,766",Aug 19,Orion Pictures
1983,High Road to China,"$28,445,927","1,508","$28,445,927",Mar 18,Warner Bros.
1983,Sophie's Choice,"$27,107,015",548,"$30,036,000",Dec 10,Universal Pictures
1983,The Outsiders,"$25,697,647","1,002","$25,697,647",Mar 25,Warner Bros.
1983,Spring Break,"$24,071,666","1,531","$24,071,666",Mar 25,Columbia Pictures
1983,The Dark Crystal,"$22,962,711","1,052","$40,577,001",Dec 17,Universal Pictures
1983,My Tutor,"$22,587,834",500,"$22,587,834",Mar 4,Crown
1983,Class,"$21,667,789",844,"$21,667,789",Jul 22,Orion Pictures
1983,An Officer and a Gentleman,"$21,393,286","1,050","$129,795,554",Jul 30,Paramount Pictures
1983,Cujo,"$21,156,152","1,293","$21,156,152",Aug 12,Warner Bros.
