year,name,gross,theaters,totalGross,relDate,distributor
1993,Jurassic Park,"$338,929,640","2,566","$357,067,947",Jun 11,Universal Pictures
1993,The Fugitive,"$176,469,222","2,425","$183,875,760",Aug 6,Warner Bros.
1993,The Firm,"$158,348,367","2,393","$158,348,367",Jul 2,Paramount Pictures
1993,Sleepless in Seattle,"$126,680,884","1,657","$126,680,884",Jun 25,TriStar Pictures
1993,Mrs. Doubtfire,"$109,086,478","2,354","$219,195,243",Nov 24,Twentieth Century Fox
1993,Indecent Proposal,"$106,614,059","1,922","$106,614,059",Apr 9,Paramount Pictures
1993,In the Line of Fire,"$102,314,823","2,129","$102,314,823",Jul 9,Columbia Pictures
1993,Aladdin,"$99,919,569","2,331","$217,350,219",Nov 13,Walt Disney Studios Motion Pictures
1993,Cliffhanger,"$84,049,211","2,431","$84,049,211",May 28,TriStar Pictures
1993,A Few Good Men,"$78,211,341","2,201","$141,340,178",Dec 11,Columbia Pictures
1993,Free Willy,"$77,698,625","1,937","$77,698,625",Jul 16,Warner Bros.
1993,Groundhog Day,"$70,906,973","1,742","$70,906,973",Feb 12,Columbia Pictures
1993,Dave,"$63,270,710","1,916","$63,270,710",May 7,Warner Bros.
1993,Rising Sun,"$63,179,523","1,722","$63,179,523",Jul 30,Twentieth Century Fox
1993,Scent of a Woman,"$62,252,413","1,252","$63,095,253",Dec 23,Universal Pictures
1993,Cool Runnings,"$60,936,096","1,832","$68,856,263",Oct 1,Walt Disney Studios Motion Pictures
1993,The Crying Game,"$59,348,005","1,097","$62,548,947",Nov 27,Miramax
1993,Demolition Man,"$58,055,768","2,258","$58,055,768",Oct 8,Warner Bros.
1993,Rookie of the Year,"$52,267,580","1,544","$53,615,089",Jul 9,Twentieth Century Fox
1993,Dennis the Menace,"$51,270,765","2,085","$51,270,765",Jun 25,Warner Bros.
1993,The Pelican Brief,"$50,356,560","2,022","$100,768,056",Dec 17,Warner Bros.
1993,Sommersby,"$50,081,992","1,762","$50,081,992",Feb 5,Warner Bros.
1993,Last Action Hero,"$50,016,394","2,339","$50,016,394",Jun 18,Columbia Pictures
1993,The Nightmare Before Christmas,"$50,003,043","1,671","$50,003,043",Oct 15,Walt Disney Studios Motion Pictures
1993,The Three Musketeers,"$47,697,164","2,128","$53,898,845",Nov 12,Walt Disney Studios Motion Pictures
1993,Malice,"$46,405,336","1,519","$46,405,336",Oct 1,Columbia Pictures
1993,Made in America,"$44,942,695","2,048","$44,942,695",May 28,Warner Bros.
1993,The Good Son,"$44,789,789","1,902","$44,789,789",Sep 24,Twentieth Century Fox
1993,Addams Family Values,"$44,228,909","2,577","$48,919,043",Nov 19,Paramount Pictures
1993,The Beverly Hillbillies,"$44,029,386","2,162","$44,029,386",Oct 15,Twentieth Century Fox
1993,Teenage Mutant Ninja Turtles III,"$42,273,609","2,087","$42,273,609",Mar 19,New Line Cinema
1993,Homeward Bound: The Incredible Journey,"$41,833,324","1,798","$41,833,324",Feb 5,Walt Disney Studios Motion Pictures
1993,Snow White and the Seven Dwarfs,"$41,634,471","1,831","$41,634,471",Jul 2,Walt Disney Studios Motion Pictures
1993,Hocus Pocus,"$39,514,713","1,472","$39,514,713",Jul 16,Walt Disney Studios Motion Pictures
1993,What's Love Got to Do with It,"$39,100,956","1,100","$39,100,956",Jun 11,Walt Disney Studios Motion Pictures
1993,Falling Down,"$39,050,515","1,827","$40,903,593",Feb 26,Warner Bros.
1993,Hot Shots! Part Deux,"$38,922,972","2,140","$38,922,972",May 21,Twentieth Century Fox
